symbol,name,time,epsEstimate,reportedEps,suprise,date
PWOD,Penns Woods Bancorp Inc,Time Not Supplied,-,-,-,2019-01-28
FCBP,First Choice Bancorp,Time Not Supplied,0.53,0.61,+15.09,2019-01-28
PEBK,Peoples Bancorp of North Carolina Inc,Time Not Supplied,-,-,-,2019-01-28
VABK,Virginia National Bankshares Corp,Time Not Supplied,-,-,-,2019-01-28
FSBW,FS Bancorp Inc,After Market Close,1.15,1.43,+24.35,2019-01-28
PMBC,Pacific Mercantile Bancorp,Before Market Open,0.18,0.19,+5.56,2019-01-28
MBTF,MBT Financial Corp,After Market Close,0.21,0.17,-19.05,2019-01-28
SFDL,Security Federal Corp,After Market Close,-,-,-,2019-01-28
LOGN,Logansport Financial Corp,Time Not Supplied,-,-,-,2019-01-28
CR,Crane Co,TAS,1.53,1.64,+7.19,2019-01-28
TCF,TCF Financial Corp,TAS,0.47,0.51,+8.51,2019-01-28
CHFC,Chemical Financial Corp,TAS,0.98,1.01,+3.06,2019-01-28
PRK,Park National Corp,TAS,1.69,1.67,-1.18,2019-01-28
WHR,Whirlpool Corp,TAS,4.23,4.75,+12.29,2019-01-28
CE,Celanese Corp,TAS,2.4,2.38,-0.83,2019-01-28
CAT,Caterpillar Inc,TAS,2.99,2.55,-14.72,2019-01-28
COMM,CommScope Holding Company Inc,TAS,0.43,0.51,+18.6,2019-01-28
SANM,Sanmina Corp,TAS,0.71,0.83,+16.9,2019-01-28
ISTR,Investar Holding Corp,Time Not Supplied,0.43,0.45,+4.65,2019-01-28
JJSF,J & J Snack Foods Corp,TAS,0.88,0.88,-,2019-01-28
FEDU,Four Seasons Education (Cayman) Inc,TAS,0.07,0.04,-42.86,2019-01-28
SSB,South State Corp,TAS,1.31,1.35,+3.05,2019-01-28
CCNE,CNB Financial Corp,TAS,0.58,0.59,+1.72,2019-01-28
IDTI,Integrated Device Technology Inc,After Market Close,0.46,0.5,+8.7,2019-01-28
ENTG,Entegris Inc,TAS,0.46,0.47,+2.17,2019-01-28
ELS,Equity LifeStyle Properties Inc,TAS,0.62,0.56,-9.68,2019-01-28
ESI,Element Solutions Inc,TAS,0.02,0.02,-,2019-01-28
CASH,Meta Financial Group Inc,TAS,0.4,0.39,-2.5,2019-01-28
SVVC,Firsthand Technology Value Fund Inc,Before Market Open,-,-,-,2019-01-28
HTLF,Heartland Financial USA Inc,TAS,1,0.93,-7,2019-01-28
HMNF,HMN Financial Inc,Time Not Supplied,-,-,-,2019-01-28
PROV,Provident Financial Holdings Inc,TAS,0.23,0.26,+13.04,2019-01-28
GGG,Graco Inc,TAS,0.43,0.43,-,2019-01-28
GLGI,Greystone Logistics Inc,Time Not Supplied,-,-,-,2019-01-28
PSBQ,PSB Holdings Inc,After Market Close,-,-,-,2019-01-28
TVTY,Tivity Health Inc,TAS,0.58,0.73,+25.86,2019-01-28
RMBS,Rambus Inc,Time Not Supplied,0.26,0.28,+7.69,2019-01-28
LUB,Luby's Inc,TAS,-,-,-,2019-01-28
WRK,WRKCO INC,Before Market Open,0.79,0.83,+5.06,2019-01-28
WSBC,WesBanco Inc,TAS,0.75,0.8,+6.67,2019-01-28
NTRI,Nutrisystem Inc,TAS,0.6,0.61,+1.67,2019-01-28
NTP,Nam Tai Property Inc,TAS,-,-,-,2019-01-28
WWD,Woodward Inc,TAS,0.74,0.96,+29.73,2019-01-28
MMM,3M Co,TAS,2.28,2.31,+1.32,2019-01-29
EGHT,8x8 Inc,TAS,-0.06,-0.06,-,2019-01-29
AGN,Allergan plc,TAS,4.15,4.29,+3.37,2019-01-29
AROW,Arrow Financial Corp,Before Market Open,0.63,0.6,-4.76,2019-01-29
NCV,Allianzgi Convertible & Income Fund,Time Not Supplied,-,-,-,2019-01-29
AX,Axos Financial Inc,TAS,0.63,0.62,-1.59,2019-01-29
PKG,Packaging Corp of America,TAS,2.14,2.17,+1.4,2019-01-29
ALV,Autoliv Inc,TAS,1.75,1.42,-18.86,2019-01-29
AAPL,Apple Inc,TAS,4.17,4.18,+0.24,2019-01-29
AMGN,Amgen Inc,TAS,3.27,3.42,+4.59,2019-01-29
AMAL,Amalgamated Bank,TAS,0.36,0.3,-16.67,2019-01-29
HP,Helmerich and Payne Inc,TAS,0.3,0.42,+40,2019-01-29
AXE,Anixter International Inc,TAS,1.45,1.53,+5.52,2019-01-29
AMD,Advanced Micro Devices Inc,TAS,0.08,0.08,-,2019-01-29
AUBN,Auburn National Bancorporation Inc,Time Not Supplied,-,-,-,2019-01-29
MAA,Mid-America Apartment Communities Inc,After Market Close,0.49,0.53,+8.16,2019-01-29
ALGN,Align Technology Inc,TAS,1.15,1.2,+4.35,2019-01-29
AOS,A. O. Smith Corp,TAS,0.7,0.74,+5.71,2019-01-29
AMBZ,American Business Bank,Time Not Supplied,-,-,-,2019-01-29
ROK,Rockwell Automation Inc,TAS,1.99,2.21,+11.06,2019-01-29
CART,Carolina Trust Bancshares Inc,Time Not Supplied,-,-,-,2019-01-29
BXP,Boston Properties Inc,TAS,0.77,0.96,+24.68,2019-01-29
AMTB,Mercantil Bank Holding Corp,Time Not Supplied,0.3,0.47,+56.67,2019-01-29
TRCB,Two River Bancorp,Time Not Supplied,0.32,0.35,+9.37,2019-01-29
CCBG,Capital City Bank Group Inc,TAS,0.37,0.41,+10.81,2019-01-29
HBCP,Home Bancorp Inc,Before Market Open,0.86,0.87,+1.16,2019-01-29
NBN,Northeast Bancorp,TAS,0.71,0.56,-21.13,2019-01-29
SSBI,Summit State Bank,Time Not Supplied,-,-,-,2019-01-29
BPRN,Bank Of Princeton,Time Not Supplied,0.56,0.55,-1.79,2019-01-29
RBB,RBB Bancorp,TAS,0.54,0.54,-,2019-01-29
OVBC,Ohio Valley Banc Corp,Time Not Supplied,-,-,-,2019-01-29
TCBK,Trico Bancshares,TAS,0.69,0.76,+10.14,2019-01-29
WRB,W. R. Berkley Corp,TAS,0.53,0.63,+18.87,2019-01-29
PUB,People's Utah Bancorp,TAS,0.55,0.56,+1.82,2019-01-29
EAT,Brinker International Inc,TAS,0.89,0.89,-,2019-01-29
PPBI,Pacific Premier Bancorp Inc,TAS,0.6,0.66,+10,2019-01-29
BIIB,Biogen Inc,Before Market Open,6.73,6.99,+3.86,2019-01-29
LBC,Luther Burbank Corp,TAS,0.2,0.19,-5,2019-01-29
WNEB,Western New England Bancorp Inc,Time Not Supplied,0.13,0.14,+7.69,2019-01-29
HBNC,Horizon Bancorp Inc,Before Market Open,0.37,0.34,-8.11,2019-01-29
UBSI,United Bankshares Inc,TAS,0.61,0.62,+1.64,2019-01-29
IBCP,Independent Bank Corp,TAS,0.47,0.41,-12.77,2019-01-29
ORPB,Oregon Pacific Bancorp,Time Not Supplied,-,-,-,2019-01-29
BIMT,Bitmis Corp,Time Not Supplied,-,-,-,2019-01-29
EBMT,Eagle Bancorp Montana Inc,Time Not Supplied,0.31,0.26,-16.13,2019-01-29
BCML,BayCom Corp,Time Not Supplied,0.35,0.39,+11.43,2019-01-29
SVBI,Severn Bancorp Inc,Time Not Supplied,-,-,-,2019-01-29
BUSE,First Busey Corp,After Market Close,0.54,0.51,-5.56,2019-01-29
BFST,Business First Bancshares Inc,Time Not Supplied,0.38,0.38,-,2019-01-29
HTBI,Hometrust Bancshares Inc,After Market Close,0.43,0.43,-,2019-01-29
SYK,Stryker Corp,TAS,2.15,2.18,+1.4,2019-01-29
NATI,National Instruments Corp,TAS,0.44,0.42,-4.55,2019-01-29
CIT,CIT Group Inc,TAS,1.14,1.1,-3.51,2019-01-29
CHRW,C.H. Robinson Worldwide Inc,TAS,1.21,1.34,+10.74,2019-01-29
WNC,Wabash National Corp,TAS,0.44,0.38,-13.64,2019-01-29
DOV,Dover Corp,TAS,1.29,1.43,+10.85,2019-01-29
UMBF,UMB Financial Corp,TAS,1.11,0.52,-53.15,2019-01-29
KLAC,KLA-Tencor Corp,TAS,2.2,2.44,+10.91,2019-01-29
JVA,Coffee Holding Co Inc,TAS,0.01,0.03,+200,2019-01-29
FRAF,Franklin Financial Services Corp,Time Not Supplied,-,-,-,2019-01-29
GPK,Graphic Packaging Holding Co,TAS,0.19,0.23,+21.05,2019-01-29
PFIS,Peoples Financial Services Corp,After Market Close,-,-,-,2019-01-29
CVLT,CommVault Systems Inc,TAS,0.42,0.54,+28.57,2019-01-29
IEX,IDEX Corp,TAS,1.27,1.31,+3.15,2019-01-29
CFFN,Capitol Federal Financial Inc,Before Market Open,0.18,0.18,-,2019-01-29
NUE,Nucor Corp,TAS,1.94,2.07,+6.7,2019-01-29
XRX,Xerox Corp,TAS,1.04,1.14,+9.62,2019-01-29
GLW,Corning Inc,TAS,0.57,0.59,+3.51,2019-01-29
CAC,Camden National Corp,TAS,0.84,0.91,+8.33,2019-01-29
BBCP,Concrete Pumping Holdings Inc,Time Not Supplied,-,-,-,2019-01-29
RGS,Regis Corp,TAS,-,0.18,-,2019-01-29
SIMO,Silicon Motion Technology Corp,After Market Close,0.83,0.83,-,2019-01-29
DHR,Danaher Corp,TAS,1.27,1.28,+0.79,2019-01-29
COHR,Coherent Inc,TAS,2.07,2.09,+0.97,2019-01-29
LMT,Lockheed Martin Corp,TAS,4.4,4.39,-0.23,2019-01-29
IPHI,Inphi Corp,TAS,0.42,0.45,+7.14,2019-01-29
POL,PolyOne Corp,TAS,0.4,0.41,+2.5,2019-01-29
KTCC,Key Tronic Corp,TAS,-,-,-,2019-01-29
VZ,Verizon Communications Inc,TAS,1.09,1.12,+2.75,2019-01-29
HRS,Harris Corp,TAS,1.91,1.96,+2.62,2019-01-29
FCF,First Commonwealth Financial Corp,TAS,0.27,0.27,-,2019-01-29
PFBX,Peoples Financial Corp,Time Not Supplied,-,-,-,2019-01-29
HOG,Harley-Davidson Inc,TAS,0.28,0.17,-39.29,2019-01-29
EBAY,eBay Inc,TAS,0.68,0.71,+4.41,2019-01-29
EQR,Equity Residential,TAS,0.36,0.31,-13.89,2019-01-29
EXTR,Extreme Networks Inc,TAS,0.1,0.13,+30,2019-01-29
EXP,Eagle Materials Inc,TAS,1.34,1.24,-7.46,2019-01-29
EFII,Electronics for Imaging Inc,TAS,0.46,0.46,-,2019-01-29
FSFG,First Savings Financial Group Inc,After Market Close,1.08,1.24,+14.81,2019-01-29
PFG,Principal Financial Group Inc,TAS,1.29,1.11,-13.95,2019-01-29
SMMF,Summit Financial Group Inc,Time Not Supplied,0.53,0.6,+13.21,2019-01-29
HLI,Houlihan Lokey Inc,TAS,0.7,0.77,+10,2019-01-29
RHI,Robert Half International Inc,TAS,0.91,0.95,+4.4,2019-01-29
SLGN,Silgan Holdings Inc,TAS,0.36,0.38,+5.56,2019-01-29
HI,Hillenbrand Inc,TAS,0.44,0.49,+11.36,2019-01-29
VBTX,Veritex Holdings Inc,TAS,0.46,0.4,-13.04,2019-01-29
KNX,Knight-Swift Transportation Holdings Inc,TAS,0.85,0.93,+9.41,2019-01-29
RNR,Renaissancere Holdings Ltd,TAS,-2.6,0.02,+100.77,2019-01-29
HA,Hawaiian Holdings Inc,TAS,1,1,-,2019-01-29
HCA,HCA Healthcare Inc,TAS,2.58,2.99,+15.89,2019-01-29
MKSI,MKS Instruments Inc,TAS,1.5,1.54,+2.67,2019-01-29
PHM,PulteGroup Inc,TAS,1.1,0.84,-23.64,2019-01-29
PFE,Pfizer Inc,TAS,0.63,0.64,+1.59,2019-01-29
PII,Polaris Industries Inc,TAS,1.82,1.83,+0.55,2019-01-29
TSS,Total System Services Inc,TAS,1.07,1.08,+0.93,2019-01-29
PCAR,PACCAR Inc,TAS,1.53,1.65,+7.84,2019-01-29
LLL,L3 Technologies Inc,TAS,2.7,3.1,+14.81,2019-01-29
MXIM,Maxim Integrated Products Inc,TAS,0.62,0.6,-3.23,2019-01-29
MITK,Mitek Systems Inc,TAS,0.02,0.03,+50,2019-01-29
MRCY,Mercury Systems Inc,TAS,0.42,0.47,+11.9,2019-01-29
VRTX,Vertex Pharmaceuticals Inc,After Market Close,1.06,1.3,+22.64,2019-01-29
ILMN,Illumina Inc,TAS,1.36,1.32,-2.94,2019-01-29
JNPR,Juniper Networks Inc,TAS,0.57,0.59,+3.51,2019-01-29
MSTR,MicroStrategy Inc,TAS,1.21,0.3,-75.21,2019-01-29
MTOR,Meritor Inc,TAS,0.61,0.79,+29.51,2019-01-29
NAP,Navios Maritime Midstream Partners LP,Time Not Supplied,-,-,-,2019-01-29
PNR,Pentair plc,TAS,0.59,0.6,+1.69,2019-01-29
CACC,Credit Acceptance Corp,TAS,7.28,7.79,+7.01,2019-01-30
AXTA,Axalta Coating Systems Ltd,TAS,0.32,0.34,+6.25,2019-01-30
ALLY,Ally Financial Inc,TAS,0.83,0.92,+10.84,2019-01-30
AFG,American Financial Group Inc,TAS,1.93,1.75,-9.33,2019-01-30
AGNC,AGNC Investment Corp,TAS,0.59,0.53,-10.17,2019-01-30
AXS,AXIS Capital Holdings Ltd,TAS,-1.26,-1.77,-40.48,2019-01-30
BABA,Alibaba Group Holding Ltd,Before Market Open,1.68,1.81,+7.74,2019-01-30
ALGT,Allegiant Travel Co,TAS,2.47,2.56,+3.64,2019-01-30
ADP,Automatic Data Processing Inc,TAS,1.18,1.34,+13.56,2019-01-30
ACNB,ACNB Corp,Time Not Supplied,-,-,-,2019-01-30
T,AT&T Inc,TAS,0.86,0.86,-,2019-01-30
AVY,Avery Dennison Corp,TAS,1.5,1.52,+1.33,2019-01-30
AMP,Ameriprise Financial Inc,TAS,3.58,3.8,+6.15,2019-01-30
VBFC,Village Bank and Trust Financial Corp,Time Not Supplied,-,-,-,2019-01-30
ARCB,ArcBest Corp,TAS,0.93,1.01,+8.6,2019-01-30
ANTM,Anthem Inc,TAS,2.2,2.44,+10.91,2019-01-30
AME,Ametek Inc,Before Market Open,0.84,0.86,+2.38,2019-01-30
HWBK,Hawthorn Bancshares Inc,Time Not Supplied,-,-,-,2019-01-30
BCRH,Blue Capital Reinsurance Holdings Ltd,TAS,-3,-2.84,+5.33,2019-01-30
LARK,Landmark Bancorp Inc,TAS,-,-,-,2019-01-30
STXB,Spirit of Texas Bancshares Inc,Time Not Supplied,0.31,0.33,+6.45,2019-01-30
LSBK,Lake Shore Bancorp Inc,Time Not Supplied,-,-,-,2019-01-30
PB,Prosperity Bancshares Inc,TAS,1.18,1.19,+0.85,2019-01-30
FMNB,Farmers National Banc Corp,Before Market Open,0.29,0.31,+6.9,2019-01-30
NYCB,New York Community Bancorp Inc,TAS,0.19,0.19,-,2019-01-30
MBIN,Merchants Bancorp,After Market Close,0.55,0.51,-7.27,2019-01-30
FBHS,Fortune Brands Home & Security Inc,After Market Close,0.93,0.86,-7.53,2019-01-30
BNCC,BNCCorp Inc,Time Not Supplied,-,-,-,2019-01-30
LEVL,Level One Bancorp Inc,Time Not Supplied,-,-,-,2019-01-30
TUP,Tupperware Brands Corp,TAS,1.33,1.33,-,2019-01-30
BRBW,Brunswick Bancorp,Time Not Supplied,-,-,-,2019-01-30
QNTO,Quaint Oak Bancorp Inc,Time Not Supplied,-,-,-,2019-01-30
FNRN,First Northern Community Bancorp,Time Not Supplied,-,-,-,2019-01-30
BA,Boeing Co,TAS,4.57,5.48,+19.91,2019-01-30
BWFG,Bankwell Financial Group Inc,After Market Close,0.56,0.59,+5.36,2019-01-30
HBMD,Howard Bancorp Inc,TAS,0.22,0.2,-9.09,2019-01-30
FDBC,Fidelity D&D Bancorp Inc,Time Not Supplied,-,-,-,2019-01-30
BRKL,Brookline Bancorp Inc,TAS,0.27,0.26,-3.7,2019-01-30
FCNCA,First Citizens BancShares Inc,Before Market Open,-,-,-,2019-01-30
NFBK,Northfield Bancorp Inc,After Market Close,0.2,0.21,+5,2019-01-30
BDN,Brandywine Realty Trust,TAS,0.1,0.68,+580,2019-01-30
LPBC,Lincoln Park Bancorp,Time Not Supplied,-,-,-,2019-01-30
ISBC,Investors Bancorp Inc,TAS,0.18,0.22,+22.22,2019-01-30
BPFH,Boston Private Financial Holdings Inc,TAS,0.23,0.26,+13.04,2019-01-30
BSVN,Bank7 Corp,Time Not Supplied,0.42,0.57,+35.71,2019-01-30
MSL,MidSouth Bancorp Inc,TAS,-0.2,-0.93,-365,2019-01-30
FIBK,First Interstate Bancsystem Inc,TAS,0.74,0.67,-9.46,2019-01-30
BOKF,BOK Financial Corp,TAS,1.28,1.5,+17.19,2019-01-30
GHM,Graham Corp,TAS,0.22,0.24,+9.09,2019-01-30
SEIC,SEI Investments Co,TAS,0.74,0.73,-1.35,2019-01-30
MCD,Mcdonald's Corp,TAS,1.89,1.97,+4.23,2019-01-30
CSII,Cardiovascular Systems Inc,TAS,-0.04,0.01,+125,2019-01-30
PMHG,Prime Meridian Holding Co,Time Not Supplied,-,-,-,2019-01-30
SXI,Standex International Corp,TAS,1.21,0.98,-19.01,2019-01-30
WVFC,W V S Financial Corp,Time Not Supplied,-,-,-,2019-01-30
GD,General Dynamics Corp,TAS,2.98,3.07,+3.02,2019-01-30
CMO,Capstead Mortgage Corp,TAS,0.05,0.05,-,2019-01-30
HES,Hess Corp,TAS,-0.41,-0.31,+24.39,2019-01-30
TFSL,TFS Financial Corp,TAS,0.08,0.07,-12.5,2019-01-30
CBTX,CBTX Inc,Time Not Supplied,0.48,0.56,+16.67,2019-01-30
CRUS,Cirrus Logic Inc,TAS,0.8,0.91,+13.75,2019-01-30
LCNB,LCNB Corp,Time Not Supplied,0.37,0.41,+10.81,2019-01-30
RCL,Royal Caribbean Cruises Ltd,TAS,1.51,1.53,+1.32,2019-01-30
FICO,Fair Isaac Corp,TAS,1.42,1.45,+2.11,2019-01-30
OSK,Oshkosh Corp,TAS,0.97,1.61,+65.98,2019-01-30
GHL,Greenhill & Co Inc,TAS,0.55,0.48,-12.73,2019-01-30
CPF,Central Pacific Financial Corp,TAS,0.49,0.54,+10.2,2019-01-30
CHKP,Check Point Software Technologies Ltd,TAS,1.63,1.68,+3.07,2019-01-30
CREE,Cree Inc,TAS,0.17,0.23,+35.29,2019-01-30
FLIC,First of Long Island Corp,Time Not Supplied,0.42,0.39,-7.14,2019-01-30
TSC,TriState Capital Holdings Inc,TAS,0.46,0.49,+6.52,2019-01-30
X,United States Steel Corp,TAS,1.84,1.82,-1.09,2019-01-30
RXN,Rexnord Corp,TAS,0.4,0.47,+17.5,2019-01-30
SMG,Scotts Miracle-Gro Co,TAS,-1.25,-1.39,-11.2,2019-01-30
SC,Santander Consumer USA Holdings Inc,TAS,0.37,0.29,-21.62,2019-01-30
CMPR,Cimpress NV,TAS,2.38,2.17,-8.82,2019-01-30
CLB,Core Laboratories NV,TAS,0.49,0.48,-2.04,2019-01-30
MSFT,Microsoft Corp,TAS,1.09,1.1,+0.92,2019-01-30
MTH,Meritage Homes Corp,TAS,1.52,1.91,+25.66,2019-01-30
CACI,CACI International Inc,TAS,2.28,2.71,+18.86,2019-01-30
KRNY,Kearny Financial Corp,After Market Close,0.12,0.12,-,2019-01-30
DRE,Duke Realty Corp,TAS,0.12,0.18,+50,2019-01-30
GNTX,Gentex Corp,TAS,0.44,0.41,-6.82,2019-01-30
DLB,Dolby Laboratories Inc,TAS,0.53,0.93,+75.47,2019-01-30
EVR,Evercore Inc,TAS,2.18,3.93,+80.28,2019-01-30
EZPW,EZCORP Inc,TAS,0.22,0.31,+40.91,2019-01-30
EFSI,Eagle Financial Services Inc,Time Not Supplied,-,-,-,2019-01-30
ESS,Essex Property Trust Inc,TAS,1.13,1.78,+57.52,2019-01-30
BEN,Franklin Resources Inc,TAS,0.65,0.54,-16.92,2019-01-30
FLEX,Flex Ltd,TAS,0.3,0.34,+13.33,2019-01-30
FFWM,First Foundation Inc,TAS,0.28,0.31,+10.71,2019-01-30
TMO,Thermo Fisher Scientific Inc,TAS,3.18,3.25,+2.2,2019-01-30
FB,Facebook Inc,TAS,2.19,2.38,+8.68,2019-01-30
WSBF,Waterstone Financial Inc (Wisconsin),After Market Close,0.24,0.21,-12.5,2019-01-30
TROW,T. Rowe Price Group Inc,TAS,1.6,1.41,-11.88,2019-01-30
THR,Thermon Group Holdings Inc,Before Market Open,0.34,0.4,+17.65,2019-01-30
THG,Hanover Insurance Group Inc,TAS,1.47,1.51,+2.72,2019-01-30
GLOP,GasLog Partners LP,Before Market Open,0.47,0.3,-36.17,2019-01-30
SIRI,Sirius XM Holdings Inc,TAS,0.06,0.06,-,2019-01-30
MKTX,Marketaxess Holdings Inc,TAS,1.16,1.21,+4.31,2019-01-30
HESM,Hess Midstream Partners LP,TAS,0.32,0.31,-3.13,2019-01-30
PATI,Patriot Transportation Holding Inc,TAS,-,-,-,2019-01-30
PYPL,PayPal Holdings Inc,TAS,0.67,0.69,+2.99,2019-01-30
HOLX,Hologic Inc,TAS,0.57,0.58,+1.75,2019-01-30
QCOM,Qualcomm Inc,TAS,1.09,1.2,+10.09,2019-01-30
SRDX,Surmodics Inc,TAS,-,0.12,-,2019-01-30
SKYW,SkyWest Inc,After Market Close,1.08,1.28,+18.52,2019-01-30
EGOV,NIC Inc,TAS,0.13,0.15,+15.38,2019-01-30
IVAC,Intevac Inc,TAS,0.06,0.09,+50,2019-01-30
MSI,Motorola Solutions Inc,After Market Close,2.53,2.63,+3.95,2019-01-30
IVZ,Invesco Ltd,TAS,0.53,0.44,-16.98,2019-01-30
TSLA,Tesla Inc,TAS,2.2,1.93,-12.27,2019-01-30
LSTR,Landstar System Inc,TAS,1.59,1.68,+5.66,2019-01-30
NDAQ,Nasdaq Inc,TAS,1.27,1.26,-0.79,2019-01-30
NOW,ServiceNow Inc,TAS,0.63,0.77,+22.22,2019-01-30
MDLZ,Mondelez International Inc,TAS,0.63,0.63,-,2019-01-30
LFUS,Littelfuse Inc,TAS,2,1.87,-6.5,2019-01-30
OSIS,OSI Systems Inc,After Market Close,0.96,1.19,+23.96,2019-01-30
V,Visa Inc,TAS,1.25,1.3,+4,2019-01-30
LLNW,Limelight Networks Inc,TAS,-0.01,-,+100,2019-01-30
MUSA,Murphy USA Inc,TAS,2.36,2.38,+0.85,2019-01-30
SLAB,Silicon Laboratories Inc,TAS,0.94,0.91,-3.19,2019-01-30
OIIM,O2micro International Ltd,TAS,-0.05,-0.12,-140,2019-01-30
TTEK,Tetra Tech Inc,TAS,0.62,0.7,+12.9,2019-01-30
IR,Ingersoll-Rand PLC,TAS,1.29,1.32,+2.33,2019-01-30
NTCT,Netscout Systems Inc,TAS,0.4,0.45,+12.5,2019-01-30
DATA,Tableau Software Inc,After Market Close,-0.08,-0.03,+62.5,2019-01-30
WYNN,Wynn Resorts Ltd,TAS,1.35,1.06,-21.48,2019-01-30
MLNX,Mellanox Technologies Ltd,After Market Close,1.3,1.42,+9.23,2019-01-30
MJCO,Majesco,TAS,-,-,-,2019-01-30