symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
SNH,Senior Housing Properties Trust,9.05,+0.06,+0.67%,"188,010",2.868M,2.152B,N/A,
CXW,"CoreCivic, Inc.",17.99,+0.32,+1.81%,"81,503","935,739",2.143B,11.91,
WRE,Washington Real Estate Investment Trust,26.74,+0.17,+0.62%,"19,373","418,498",2.141B,278.49,
IVR-PA,Invesco Mortgage Capital Inc.,26.07,-0.10,-0.39%,836,"9,308",2.116B,N/A,
UE,Urban Edge Properties,17.22,+0.06,+0.35%,"58,165","769,766",2.087B,24.22,
IVR-PC,Invesco Mortgage Capital Inc.,25.71,-0.06,-0.24%,"3,031","37,045",2.081B,N/A,
ROIC,Retail Opportunity Investments Corp.,17.81,+0.01,+0.06%,"122,235","926,565",2.036B,44.86,
IVR,Invesco Mortgage Capital Inc.,15.81,+0.01,+0.06%,"361,761",1.38M,2.036B,N/A,
CLI,Mack-Cali Realty Corporation,22.26,-0.04,-0.18%,"39,904","425,434",2.016B,8.41,
LADR,Ladder Capital Corp,16.83,+0.20,+1.23%,"85,188","698,842",2.016B,11.97,
LTC,"LTC Properties, Inc.",49.09,+0.04,+0.08%,"26,440","203,098",1.951B,18.41,
NSA,National Storage Affiliates Trust,32.60,+0.17,+0.52%,"68,105","432,680",1.933B,N/A,
PMT,PennyMac Mortgage Investment Trust,22.00,+0.18,+0.80%,"169,979",1.004M,1.931B,9.44,
FCPT,"Four Corners Property Trust, Inc.",28.07,+0.08,+0.29%,"15,148","453,377",1.92B,25.63,
DRH,DiamondRock Hospitality Company,9.48,+0.08,+0.80%,"96,838",1.813M,1.897B,20.87,
BPRAP,Brookfield Property REIT Inc.,25.43,-0.03,-0.12%,150,"15,158",1.85B,0.53,
ALX,"Alexander's, Inc.",361.97,+1.44,+0.40%,"10,994","13,731",1.849B,34.23,
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",27.26,+0.09,+0.33%,"22,074","315,069",1.791B,31.59,
BFS-PD,"Saul Centers, Inc.",25.34,0.00,0.00%,18,"4,515",1.724B,14.32,
EPRT,"Essential Properties Realty Trust, Inc.",22.24,+0.13,+0.59%,"89,444","969,658",1.698B,43.10,
PMT-PA,PennyMac Mortgage Investment Trust,26.58,-0.04,-0.15%,"1,029","10,961",1.689B,11.41,
PMT-PB,PennyMac Mortgage Investment Trust,26.36,-0.00,-0.01%,"1,333","13,425",1.685B,11.32,
GNL,"Global Net Lease, Inc.",19.82,+0.09,+0.46%,"58,952","558,974",1.675B,138.60,
ALEX,"Alexander & Baldwin, Inc.",23.07,+0.20,+0.87%,"7,904","302,065",1.667B,N/A,
RWT,"Redwood Trust, Inc.",17.18,+0.08,+0.47%,"140,937","620,592",1.664B,12.66,
CLNC,"Colony Credit Real Estate, Inc.",12.95,-0.10,-0.73%,"90,926","290,522",1.665B,N/A,
GNL-PA,"Global Net Lease, Inc.",25.48,-0.02,-0.07%,"6,679","17,563",1.655B,178.19,
DEA,"Easterly Government Properties, Inc.",20.79,+0.08,+0.39%,"281,564","719,006",1.631B,183.98,
BFS-PC,"Saul Centers, Inc.",25.47,0.00,0.00%,"4,402","9,310",1.614B,14.40,
UNIT,Uniti Group Inc.,8.55,+0.02,+0.29%,"212,388",3.194M,1.65B,28.67,
CHSP,Chesapeake Lodging Trust,26.15,+0.11,+0.42%,"25,289","301,880",1.589B,16.80,
NMRK,"Newmark Group, Inc.",8.81,+0.16,+1.91%,"131,428","840,301",1.573B,14.16,
RDFN,Redfin Corporation,16.90,-0.11,-0.65%,"271,884",1.052M,1.538B,N/A,
ABR-PC,"Arbor Realty Trust, Inc.",26.60,-0.18,-0.67%,100,"1,934",1.446B,19.16,
TRTX,"TPG RE Finance Trust, Inc.",19.38,0.00,0.00%,"11,482","292,398",1.436B,11.46,
ABR-PA,"Arbor Realty Trust, Inc.",25.98,+0.06,+0.23%,"1,500","2,006",1.422B,18.72,
ABR-PB,"Arbor Realty Trust, Inc.",25.70,+0.21,+0.82%,"1,390","1,685",1.409B,18.52,
BPR,Brookfield Property REIT Inc.,19.14,+0.04,+0.21%,"105,659",1.528M,1.407B,0.40,
MMI,"Marcus & Millichap, Inc.",35.95,+0.16,+0.45%,"15,110","230,092",1.405B,16.89,
ILPT,Industrial Logistics Properties Trust,21.44,+0.18,+0.85%,"13,572","404,290",1.395B,21.02,
SKT,"Tanger Factory Outlet Centers, Inc.",14.66,+0.02,+0.14%,"313,642",2.051M,1.371B,18.84,
OPI,Office Properties Income Trust,28.42,+0.45,+1.61%,"47,512","323,523",1.367B,N/A,
UHT,Universal Health Realty Income Trust,97.08,+0.74,+0.76%,"16,571","70,296",1.335B,77.24,
MNR-PC,Monmouth Real Estate Investment Corporation,24.73,+0.03,+0.10%,"6,616","31,814",1.328B,224.79,
NYMT,"New York Mortgage Trust, Inc.",6.27,+0.03,+0.48%,"386,292",2.75M,1.322B,9.83,
NYMTN,"New York Mortgage Trust, Inc.",24.77,+0.06,+0.26%,"3,531","31,704",1.312B,38.83,
NYMTP,"New York Mortgage Trust, Inc.",24.70,+0.09,+0.36%,279,"7,020",1.304B,38.71,
NYMTO,"New York Mortgage Trust, Inc.",24.96,+0.06,+0.23%,"2,050","10,530",1.303B,39.12,
AHH,"Armada Hoffler Properties, Inc.",17.51,+0.07,+0.40%,"31,074","239,411",1.296B,52.74,
AFIN,"American Finance Trust, Inc.",12.21,-0.07,-0.57%,"40,207","909,752",1.297B,N/A,
MNR,Monmouth Real Estate Investment Corporation,13.23,+0.09,+0.72%,"118,575","408,806",1.247B,N/A,
KRG,Kite Realty Group Trust,14.79,+0.15,+1.02%,"58,971","509,849",1.242B,N/A,
GTY,Getty Realty Corp.,30.04,+0.07,+0.23%,"17,623","116,260",1.235B,25.83,
IIPR,"Innovative Industrial Properties, Inc.",108.87,+2.77,+2.61%,"70,540","537,409",1.231B,97.73,
INN-PE,"Summit Hotel Properties, Inc.",25.35,+0.01,+0.04%,"1,200","12,673",1.218B,29.14,
IRT,"Independence Realty Trust, Inc.",13.45,+0.07,+0.56%,"52,536","450,344",1.226B,32.98,
BFS,"Saul Centers, Inc.",52.33,+1.03,+2.01%,"16,968","51,312",1.204B,29.58,
INN-PD,"Summit Hotel Properties, Inc.",25.72,-0.02,-0.08%,"1,400","3,917",1.203B,29.56,
AHH-PA,"Armada Hoffler Properties, Inc.",26.59,+0.16,+0.61%,700,"7,914",1.202B,76.41,
INN,"Summit Hotel Properties, Inc.",11.30,+0.10,+0.85%,"43,806","600,812",1.207B,12.98,
SAFE,Safehold Inc.,29.04,+0.19,+0.66%,"16,331","116,896",1.174B,33.46,
ABR,"Arbor Realty Trust, Inc.",12.32,+0.11,+0.90%,"153,933",1.384M,1.162B,8.88,
AFINP,"American Finance Trust, Inc.",25.60,0.00,0.00%,"2,060","33,877",1.143B,N/A,
KREF,KKR Real Estate Finance Trust Inc.,19.24,+0.11,+0.58%,"31,667","237,863",1.105B,13.40,
IIPR-PA,"Innovative Industrial Properties, Inc.",30.18,+0.15,+0.50%,"3,066","3,113",1.099B,27.09,
NXRT,"NexPoint Residential Trust, Inc.",45.81,+0.97,+2.16%,"11,780","89,768",1.095B,N/A,
ARR-PB,"ARMOUR Residential REIT, Inc.",25.01,-0.00,-0.01%,"3,417","31,782",1.09B,N/A,
JOE,The St. Joe Company,17.67,+0.16,+0.91%,"9,704","119,501",1.064B,60.10,
FPH,"Five Point Holdings, LLC",6.94,+0.08,+1.17%,"10,201","130,147",1.027B,N/A,
ARR,"ARMOUR Residential REIT, Inc.",17.03,+0.07,+0.41%,"84,511","703,200",1.008B,N/A,
GPMT,Granite Point Mortgage Trust Inc.,18.15,-0.18,-0.98%,"150,468","387,560",995.586M,12.77,
WPG-PI,Washington Prime Group Inc.,19.39,+0.13,+0.69%,170,"14,202",969.675M,110.82,
RPT,RPT Realty,12.04,+0.04,+0.33%,"27,826","555,239",967.539M,80.27,
WPG-PH,Washington Prime Group Inc.,20.71,0.00,0.00%,"2,239","21,248",953.921M,118.34,
WFE-PA,Wells Fargo Real Estate Investment Corporation,25.51,+0.02,+0.10%,"5,595","26,404",868.973M,0.72,
NRE,Northstar Realty Europe Corp.,16.91,-0.02,-0.15%,"118,874","724,344",850.146M,3.99,
STAR,iStar Inc.,12.97,+0.06,+0.46%,"84,795","927,226",839.08M,4.14,
CHCT,Community Healthcare Trust Incorporated,43.00,-0.20,-0.46%,"23,232","141,088",834.492M,323.31,
UBP,Urstadt Biddle Properties Inc.,16.58,+0.05,+0.32%,"1,060","2,696",817.041M,28.73,
IRET,Investors Real Estate Trust,69.53,+0.99,+1.45%,"19,305","47,446",822.444M,N/A,
UBP-PH,Urstadt Biddle Properties Inc.,27.38,-0.08,-0.31%,1,"6,362",805.23M,47.44,
CLDT,Chatham Lodging Trust,16.96,-0.07,-0.41%,"48,793","237,434",795.761M,31.41,
FOR,Forestar Group Inc.,18.89,-0.12,-0.63%,462,"33,028",792.622M,6.86,
IRET-PC,Investors Real Estate Trust,25.88,+0.02,+0.06%,"8,210","3,038",790.121M,N/A,
STAR-PD,iStar Inc.,26.08,-0.02,-0.08%,"2,799","5,579",784.126M,8.32,
UBA,Urstadt Biddle Properties Inc.,20.86,+0.09,+0.43%,"7,544","89,768",781.764M,36.15,
STAR-PG,iStar Inc.,25.63,-0.03,-0.12%,"2,067","9,394",778.595M,8.18,
STAR-PI,iStar Inc.,25.60,-0.10,-0.39%,"18,652","7,647",772.403M,8.17,
UBP-PG,Urstadt Biddle Properties Inc.,25.41,-0.06,-0.24%,"1,350","3,492",770.421M,44.04,
CMO,Capstead Mortgage Corporation,8.03,+0.02,+0.25%,"99,681","831,711",759.69M,N/A,
HT-PE,Hersha Hospitality Trust,24.70,+0.05,+0.20%,757,"13,701",744.05M,N/A,
HT-PD,Hersha Hospitality Trust,24.57,-0.08,-0.31%,"1,150","15,844",739.938M,N/A,
HT-PC,Hersha Hospitality Trust,25.51,-0.09,-0.33%,"2,220","7,419",734.449M,N/A,
RVI,Retail Value Inc.,37.40,+0.28,+0.75%,"4,605","109,725",712.208M,4.65,
GOOD,Gladstone Commercial Corporation,22.35,+0.05,+0.23%,"32,970","122,531",712.044M,"1,015.76",
RLGY,Realogy Holdings Corp.,6.23,+0.08,+1.30%,"719,846",4.964M,712.239M,14.32,
CMO-PE,Capstead Mortgage Corporation,25.22,0.00,0.00%,"11,342","21,737",684.894M,N/A,
GOODP,Gladstone Commercial Corporation,27.69,+0.16,+0.59%,"2,400","2,946",678.28M,"1,258.64",
GOODO,Gladstone Commercial Corporation,27.49,+0.30,+1.09%,10,"1,360",667.38M,"1,249.55",
RC,Ready Capital Corporation,14.81,+0.09,+0.61%,"7,027","175,568",657.794M,7.89,
GOODM,Gladstone Commercial Corporation,25.37,+0.11,+0.42%,"5,662","6,647",647.331M,"1,153.18",
APTS,"Preferred Apartment Communities, Inc.",14.40,+0.08,+0.56%,"58,946","275,493",640.175M,N/A,
RESI,Front Yard Residential Corporation,11.30,+0.04,+0.36%,"16,311","253,801",608.239M,N/A,
CORR,"CorEnergy Infrastructure Trust, Inc.",45.22,+0.06,+0.12%,"22,941","117,079",580.028M,17.31,
HT,Hersha Hospitality Trust,14.72,-0.03,-0.19%,"24,769","305,793",578.121M,N/A,
OLP,"One Liberty Properties, Inc.",27.90,+0.24,+0.85%,"12,822","46,096",549.116M,29.68,
CPLG,CorePoint Lodging Inc.,9.37,-0.05,-0.53%,"46,713","454,387",540.758M,N/A,
SNR,New Senior Investment Group Inc.,6.56,+0.23,+3.63%,"97,040","447,841",539.288M,N/A,
MITT-PA,"AG Mortgage Investment Trust, Inc.",25.73,+0.04,+0.17%,444,"2,721",530.576M,39.71,
UMH-PD,"UMH Properties, Inc.",25.12,-0.09,-0.36%,400,"3,945",526.563M,N/A,
MITT-PB,"AG Mortgage Investment Trust, Inc.",25.80,0.00,0.00%,"20,522","6,080",526.052M,39.81,
UMH-PC,"UMH Properties, Inc.",25.51,-0.01,-0.05%,"2,574","33,204",523.105M,N/A,
CIO,"City Office REIT, Inc.",13.20,+0.10,+0.76%,"62,366","257,507",523.342M,N/A,
CORR-PA,"CorEnergy Infrastructure Trust, Inc.",25.82,0.00,0.00%,150,"16,980",516.916M,9.89,
MITT,"AG Mortgage Investment Trust, Inc.",15.76,+0.02,+0.13%,"19,840","200,057",515.915M,24.32,
UMH-PB,"UMH Properties, Inc.",25.91,+0.00,+0.01%,390,"4,090",513.198M,N/A,
WSR,Whitestone REIT,12.66,+0.08,+0.64%,"55,102","223,968",508.131M,23.19,
UMH,"UMH Properties, Inc.",12.69,+0.03,+0.24%,"52,595","168,753",501.42M,N/A,
CTT,"CatchMark Timber Trust, Inc.",10.06,+0.05,+0.50%,"25,948","186,004",493.004M,N/A,
FRPH,"FRP Holdings, Inc.",49.94,+0.52,+1.05%,"2,391","13,298",492.581M,34.42,
PEI-PD,Pennsylvania Real Estate Investment Trust,20.91,+0.06,+0.28%,"1,000","15,728",485.53M,N/A,
CIO-PA,"City Office REIT, Inc.",25.56,-0.08,-0.31%,"1,000","7,441",482.573M,N/A,
PEI-PB,Pennsylvania Real Estate Investment Trust,21.27,+0.03,+0.13%,"1,022","9,000",484.038M,N/A,
PEI-PC,Pennsylvania Real Estate Investment Trust,20.60,-0.10,-0.48%,900,"18,653",478.145M,N/A,
RMAX,"RE/MAX Holdings, Inc.",26.56,+0.46,+1.76%,"31,274","262,239",473.65M,17.25,
WMC,Western Asset Mortgage Capital Corporation,9.66,+0.02,+0.21%,"43,188","382,958",465.848M,13.42,
JCAP-PB,"Jernigan Capital, Inc.",26.10,+0.03,+0.12%,720,"3,180",455.194M,11.70,
ACRE,Ares Commercial Real Estate Corporation,15.29,+0.15,+0.99%,"12,092","165,800",441.402M,11.50,
JCAP,"Jernigan Capital, Inc.",19.56,+0.04,+0.20%,"11,154","157,746",442.664M,8.77,
GMRE-PA,Global Medical REIT Inc.,26.34,0.00,0.00%,"9,176","7,854",425.646M,80.30,
DX-PB,"Dynex Capital, Inc.",25.00,+0.15,+0.62%,"19,440","13,344",417.368M,N/A,
DX-PA,"Dynex Capital, Inc.",25.85,+0.00,+0.00%,"5,000","2,622",416.72M,N/A,
GMRE,Global Medical REIT Inc.,10.95,-0.06,-0.54%,"26,908","273,177",412.815M,N/A,
IRS,IRSA Inversiones y Representaciones Sociedad Anónima,7.16,-0.17,-2.32%,"10,472","124,565",418.102M,0.47,
BHR-PD,"Braemar Hotels & Resorts, Inc.",26.50,+0.22,+0.82%,"7,738","7,523",375.799M,N/A,
DX,"Dynex Capital, Inc.",15.21,+0.21,+1.37%,"114,533","357,204",374.891M,N/A,
AHT-PF,"Ashford Hospitality Trust, Inc.",21.69,+0.47,+2.22%,"5,514","23,044",371.036M,N/A,
ANH-PC,Anworth Mortgage Asset Corporation,25.45,0.00,0.00%,"1,100","3,442",365.97M,N/A,
IRCP,IRSA Propiedades Comerciales S.A.,13.00,-0.48,-3.55%,"5,016","5,274",382.115M,0.55,
SMTA,Spirit MTA REIT,8.49,-0.04,-0.47%,"81,397","390,534",366.428M,N/A,
AHT-PG,"Ashford Hospitality Trust, Inc.",21.04,+0.14,+0.67%,"3,679","29,227",358.785M,N/A,
AHT-PD,"Ashford Hospitality Trust, Inc.",24.64,+0.07,+0.28%,"4,131","14,755",363.945M,N/A,
AHT-PH,"Ashford Hospitality Trust, Inc.",21.30,0.00,0.00%,"1,792","21,151",362.573M,N/A,
XAN,Exantas Capital Corp.,11.35,+0.08,+0.71%,"9,189","148,115",361.642M,14.17,
BHR-PB,"Braemar Hotels & Resorts, Inc.",18.43,+0.11,+0.60%,"1,006","9,966",359.61M,N/A,
ANH-PA,Anworth Mortgage Asset Corporation,26.32,+0.22,+0.83%,900,"2,496",358.558M,N/A,
AHT-PI,"Ashford Hospitality Trust, Inc.",21.47,+0.32,+1.51%,46,"25,166",362.798M,N/A,
ANH-PB,Anworth Mortgage Asset Corporation,21.38,0.00,0.00%,"2,730",734,354.515M,N/A,
XAN-PC,Exantas Capital Corp.,26.25,-0.08,-0.30%,600,"7,649",348.264M,32.77,
NTP,Nam Tai Property Inc.,9.10,-0.10,-1.09%,"6,200","18,841",347.738M,N/A,
ORC,"Orchid Island Capital, Inc.",6.16,+0.07,+1.18%,"259,246","693,877",345.407M,N/A,
FPI,Farmland Partners Inc.,6.49,+0.09,+1.41%,"25,477","199,134",336.001M,47.03,
FPI-PB,Farmland Partners Inc.,23.83,+0.08,+0.33%,582,"15,046",332.438M,172.67,
CHMI-PB,Cherry Hill Mortgage Investment Corporation,25.50,+0.20,+0.79%,5,"6,297",307.423M,N/A,
BHR,"Braemar Hotels & Resorts, Inc.",9.34,+0.08,+0.86%,"25,355","204,998",307.311M,N/A,
AJX,Great Ajax Corp.,14.33,0.00,0.00%,"9,354","93,988",290.589M,8.92,
CHMI-PA,Cherry Hill Mortgage Investment Corporation,25.40,-0.00,-0.00%,505,"6,018",272.785M,N/A,
AI-PC,Arlington Asset Investment Corp.,22.66,+0.24,+1.06%,600,"7,909",266.781M,N/A,
AI-PB,Arlington Asset Investment Corp.,21.00,0.00,0.00%,200,"1,131",246.784M,N/A,
CDR-PB,"Cedar Realty Trust, Inc.",25.08,+0.08,+0.32%,"5,200","4,313",232.503M,281.80,
BRT,BRT Apartments Corp.,14.22,-0.15,-1.04%,"10,221","21,920",226.052M,73.68,
CHMI,Cherry Hill Mortgage Investment Corporation,13.31,+0.02,+0.15%,"57,310","245,228",224.894M,N/A,
CDR-PC,"Cedar Realty Trust, Inc.",22.08,0.00,0.00%,"2,137","17,263",224.311M,248.09,
STRS,Stratus Properties Inc.,26.49,-0.11,-0.41%,"1,086","6,360",216.6M,N/A,
TCI,"Transcontinental Realty Investors, Inc.",23.58,-0.74,-3.04%,479,"3,428",205.565M,1.17,
AI,Arlington Asset Investment Corp.,5.64,+0.04,+0.75%,"37,861","458,220",206.831M,N/A,
PICO,"PICO Holdings, Inc.",10.18,+0.17,+1.70%,"7,730","72,526",206.143M,35.10,
CBL-PD,"CBL & Associates Properties, Inc",7.65,+0.02,+0.26%,"24,930","77,066",204.719M,N/A,
CLPR,Clipper Realty Inc.,11.10,+0.08,+0.73%,"5,671","36,700",197.743M,N/A,
MLP,"Maui Land & Pineapple Company, Inc.",10.19,0.00,0.00%,539,"8,907",196.808M,536.32,
CBL-PE,"CBL & Associates Properties, Inc",6.97,-0.10,-1.41%,"5,280","38,968",189.186M,N/A,
ARL,"American Realty Investors, Inc.",11.30,-0.15,-1.31%,"1,569","3,430",180.767M,1.14,
EARN,Ellington Residential Mortgage REIT,10.73,+0.07,+0.66%,"13,923","49,252",133.772M,N/A,
PSTL,"Postal Realty Trust, Inc.",15.00,+0.07,+0.47%,508,"38,023",79.692M,N/A,
NLY-PI,"Annaly Capital Management, Inc.",25.72,+0.04,+0.16%,"2,692","218,200",N/A,N/A,
DTLA-P,Brookfield DTLA Fund Office Trust Investor Inc.,19.99,-0.25,-1.21%,"7,634","6,424",N/A,N/A,
CCI-PA,Crown Castle International Corp,"1,282.43",+3.54,+0.28%,"1,231","14,948",N/A,"1,269.73",
PSA-PV,Public Storage Dep Shs Repstg 1,25.48,-0.07,-0.27%,"2,253","30,347",N/A,N/A,
PSA-PW,Public Storage Depositary Share,25.28,+0.02,+0.09%,"1,304","22,420",N/A,N/A,
EPR-PE,EPR Properties Series E Cumulat,38.50,0.00,0.00%,150,"8,847",N/A,11.70,
PSA-PX,Public Storage Depositary Share,25.32,+0.05,+0.18%,340,"13,375",N/A,N/A,
SHO-PF,"Sunstone Hotel Investors, Inc. PFD SER F",26.38,0.00,0.00%,300,"1,335",5.94B,55.77,
PSA-PD,Public Storage Depositary Share,25.85,-0.05,-0.19%,"2,815","44,168",N/A,N/A,
NRZ-PA,New Residential Investment Corp.,26.05,+0.03,+0.12%,"8,887","99,833",N/A,33.06,
PSA-PA,Public Storage Depositary Share,25.80,+0.03,+0.12%,370,"15,012",N/A,N/A,
PSA-PG,Public Storage Depositary Share,26.30,+0.07,+0.26%,"2,438","26,559",N/A,N/A,
RPT-PD,Ramco-Gershenson Properties Trust PERP PFD-D CV,51.30,+0.40,+0.78%,104,"6,264",0,72.56,
PSA-PE,Public Storage Depositary Share,25.79,-0.00,-0.01%,"1,780","38,736",N/A,3.83,
EPR-PC,EPR Properties 5.75% Series C C,32.78,+0.37,+1.16%,"1,246","15,253",N/A,N/A,
PSA-PC,Public Storage Depositary Share,26.10,-0.14,-0.53%,"2,025","16,090",N/A,N/A,
PSA-PF,Public Storage Depositary Share,26.28,-0.04,-0.16%,"1,514","20,521",N/A,3.90,
PSA-PB,Public Storage Depositary Share,26.36,0.00,0.00%,290,"17,114",N/A,3.92,